AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
321,118,957,123597,-53719,214878,-45,-420,-98,-36036,-95731,-26829,216,-516,-659,70548,-84329,-73902,-301,-458,-647,50060,60792,-158231,166,937,-133,-45365,49146,-137134,-507,250,-54,41036,91585,3048,-288,129,-312,-18902,101585,8841,113,665,55,-101158,85853,-27012,-41,520,794,-66280,116158,61829,199,-170,858,-96097,2256,135548,131,-384,248,44756,-44573,77926,248,-799,-463,61829,-101036,68109,-55,-237,-444,40975,-76036,-26158,-131,100,-45,-11097,-31219,-52439,-26,190,-32,-40000,-11829,-48780,-20,62,-15,-11585,-11158,-18719,-30,13,4,-4634,-1158,-3109,14,10,-2,-975,365,1158,16,-2,0,-1036,792,-1463,-15,-12,4,914,-792,2195,"clockwise"
4,760,655,56524,44085,117012,29,-220,190,44817,-66646,79268,693,-1181,134,11219,-111829,44634,-109,215,-786,26158,-82073,-89207,-359,-404,-709,159085,64695,-134817,-171,8,-353,8841,106158,-152378,-201,551,218,-151707,112926,-33841,-248,147,-233,15060,20426,13292,-181,385,-162,-100487,87560,14451,296,796,981,-53719,134756,42256,166,110,861,-43292,19634,123536,116,-1141,281,-38292,-118109,144451,290,-676,-327,21646,-118414,-19024,-52,64,-365,11158,-47439,-56890,-204,225,-272,30548,-26646,-40792,-45,259,-54,3597,-9146,-31524,-17,36,-11,-121,-8963,-9573,-28,29,-52,-914,-4756,-6341,1,9,28,-304,6768,-1829,1,-11,-4,-2926,-2134,-1341,"clockwise"
-75,826,565,37926,29024,124329,123,-235,450,24939,-55792,69085,679,-864,-278,30609,-118902,37804,-331,-423,-797,-63780,-7682,-75060,-158,-31,-186,96097,27743,-120975,-295,169,-366,109024,8719,-144695,-210,407,-179,-64268,86951,-52439,-42,6,-100,19512,50121,792,-127,598,36,-60914,105609,-9268,-53,374,404,-76402,72134,14939,19,64,923,-77256,34817,118170,210,-455,256,-34817,-57865,112743,200,-391,-58,-6036,-35792,35121,347,-385,-189,47012,-56768,-8719,-94,107,-309,43536,-50365,-38414,-182,71,-135,5426,-13475,-16280,-15,187,-64,-31768,-18658,-51585,-10,83,-1,-5000,-365,-10975,26,17,-4,7012,2012,5243,-8,-25,-14,1463,-914,5548,"clockwise"
231,824,924,82073,41219,162378,473,-436,109,74207,-92439,68902,-39,-1030,-696,-72256,-153353,-43902,-210,-315,-414,79634,4146,-121097,-339,36,-292,30853,31524,-91829,-168,-66,-342,128963,109756,-93902,-138,553,85,-120792,135609,-23963,-134,231,-100,-19634,24207,-5000,-235,587,134,-112134,69573,16951,32,201,525,-91219,58536,56646,114,-32,426,-32378,26158,74695,394,-348,641,-23841,-20487,105975,269,-408,-103,19939,-102195,28475,-20,-161,-354,37134,-69390,-3841,-35,-40,-500,17500,-57926,-51341,-162,140,-36,21463,-5670,-42987,-59,161,-11,-18658,4329,-25731,-8,83,25,-5365,1646,-12073,11,-16,19,1951,-1829,-3536,-2,27,5,1646,-3475,3231,"clockwise"
-1,881,489,32560,37926,139329,262,-60,372,-7865,-46829,110182,407,-1061,64,76707,-111768,19878,-90,-216,-772,72439,-91463,-121463,-430,-526,-468,82073,28780,-126280,-187,533,43,25000,118353,-141280,-201,135,-454,13597,84512,-42012,-81,94,-420,-55609,40060,-1158,150,500,24,-150121,125304,426,185,529,475,4207,86890,8292,139,229,938,-95121,45365,155853,347,-853,750,1158,-59573,126951,54,-306,-90,-6097,-92256,35060,-115,-453,-530,24939,-106951,5000,-98,63,-339,-1402,-61280,-64451,-190,103,-75,10609,-16768,-40000,-69,232,-57,-17500,5365,-44817,-51,100,-15,-6036,5975,-12500,-23,9,12,-2987,7987,-3231,32,15,58,-3292,6951,-3353,"clockwise"
58,666,939,41524,30000,123109,337,-134,283,53719,-100792,70365,449,-1103,-643,94512,-144146,23658,-497,-606,-803,-10243,-17987,-149024,-79,363,-276,-15670,39085,-140792,-325,411,-438,27073,70426,-76829,-383,171,-30,-26585,128658,-3170,-66,374,26,17012,88841,1463,51,612,409,-12560,121524,32865,91,111,556,-169573,21097,131219,24,-507,639,-49268,-12560,82012,320,-461,216,-12560,-78048,55243,148,-437,-189,24146,-62926,5060,32,50,-425,20670,-66646,-65670,-165,202,-204,33780,-5853,-41707,-66,123,-17,2439,-11097,-26097,1,53,-3,-14756,-4451,-19207,1,70,-8,-243,-8414,-3780,-17,-2,-50,5304,3109,6097,-2,-24,13,-6036,2865,-731,"clockwise"
-122,641,846,17500,25487,124512,291,-373,296,17865,-66280,62621,131,-536,-623,-8841,-156097,-44756,-86,-295,-600,22012,7926,-67256,-191,-184,-311,103048,37134,-66402,-96,366,-374,30426,78170,-115365,-225,270,-331,-26585,78841,-42012,157,365,49,-139024,76585,-10243,-228,696,354,-1646,102865,-9695,13,506,1196,-76402,56524,106402,212,-830,371,14695,-47926,116890,341,-700,-427,61890,-106829,16890,-96,-123,-365,110182,-49268,-28170,-68,-44,12,-16219,-9878,-18414,58,127,-18,-65609,-14146,-19451,-17,66,-44,-45975,-7560,-10792,-51,24,45,-1951,-5426,2012,19,27,-26,548,-2560,-1890,-2,-21,-41,2987,1219,4878,1,-3,1,-2743,304,1890,"clockwise"
-598,617,-543,73109,133536,-121951,-77,108,332,-51585,36707,41341,151,87,555,-73902,-2865,82134,135,-406,197,5487,-37317,90487,244,-480,-85,17743,-37560,11768,129,-303,-219,26036,-47682,-18109,-56,185,-77,-2743,-26585,-41402,-74,121,-95,12621,-11097,-24878,-10,124,-82,-1158,-3719,-12987,2,4,45,2073,4756,-2743,0,0,8,243,-1097,-2865,3,-14,-12,-2195,-4024,-2012,-5,1,-24,1097,487,-182,15,2,34,914,304,-914,14,16,8,-670,-487,121,-12,-19,-13,-1280,-5000,365,8,19,-26,-243,1097,1158,-17,-12,8,243,-1829,2134,2,-16,6,60,3719,1158,10,5,-41,2256,1219,-60,"clockwise"
-150,622,802,1768,30914,119329,413,-352,427,31829,-64268,61707,337,-1087,-601,105243,-143658,-9756,-181,-234,-952,-17865,-25792,-155060,-208,361,-333,39878,60243,-89512,-305,280,-166,-3475,111158,-57865,-174,312,-68,-17073,89024,-7439,-58,320,89,-43109,53170,7743,-65,388,444,-104573,60365,38719,-122,93,727,-39512,35914,85304,323,-272,394,-30060,-19390,61219,210,-633,-89,18231,-73536,70731,62,-255,-146,27134,-58414,-30914,119,26,-240,18719,-27987,-35060,-103,304,-205,8353,-19085,-41402,-41,-6,-24,7378,-7682,-14451,8,125,-7,-13780,670,-15670,-18,43,-13,5731,-2439,6158,13,-6,-25,-1463,4390,4756,0,-42,30,1646,2743,1219,"clockwise"
11,913,554,10731,27865,90121,-1,-260,463,25914,-54390,86158,470,-897,-229,28048,-135792,19268,-65,-606,-530,3902,-55792,-43048,-159,45,-583,58475,23780,-147743,-251,374,-310,93902,91585,-99207,-171,310,-184,-22195,62682,-24634,-316,61,-300,-20853,89512,-609,75,780,427,-122195,116280,-7073,-58,-37,406,-22804,57195,59085,231,47,1062,-116219,20548,109329,273,-749,145,9451,-101524,91768,113,-460,-344,29573,-68841,-1219,62,135,-378,27621,-54085,-68841,-222,156,-152,41829,-18719,-24146,-8,161,-59,-25182,-10121,-40426,16,59,12,-2195,2926,-8719,-18,0,4,426,-365,-487,7,37,-2,-60,-3841,3963,-13,-19,-7,4329,1524,4817,"clockwise"
