AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
17,-20,52,1246,864,-99,-14,22,11,-62,-62,-548,42,-60,14,-69,-533,185,-46,28,49,918,863,-231,25,-63,-29,232,-149,450,3,23,33,351,23,-11,-9,11,0,480,207,-319,16,-28,-7,-52,-67,110,-8,30,-13,-203,-137,153,-6,2,13,48,48,-131,-28,4,-169,6190,1645,-1540,-38,101,-23,-675,-491,751,-31,123,33,-1544,-101,106,-26,94,-43,-1277,-395,-168,15,30,3,-534,-366,230,-1,33,18,177,-196,392,7,40,38,-17,64,-101,5,14,44,-1679,-108,294,10,18,-27,-1082,-183,372,-26,23,-9,-16,140,-23,tilt_right
-16,13,-39,-1014,-346,-324,36,-77,8,-369,27,91,-22,-4,-44,-535,-312,173,9,-61,13,-172,-16,420,5,-56,-17,-875,-58,164,5,-34,35,61,80,-371,59,-125,-15,139,214,313,-27,-1,11,-917,-779,348,33,-28,28,1246,671,-489,20,-56,46,961,159,-441,5,-8,34,452,282,214,-2,-16,8,-100,-46,-374,-13,-2,-9,333,-48,-504,32,-49,50,908,58,488,-10,47,29,-289,-34,191,-5,-50,-29,581,216,-232,3,7,1,-181,-171,204,2,20,6,165,146,-327,7,-31,-12,376,107,137,-4,13,-4,-415,-277,267,tilt_right
-38,109,-122,4985,1501,-1365,-22,-37,-23,708,-130,-438,-10,56,-12,-1325,-601,931,-22,120,-8,-79,400,387,-24,92,18,134,219,-225,6,18,30,-525,1,-36,-28,112,41,-2256,-1316,772,-8,34,21,-463,315,-338,-1,5,-17,-1261,-301,-1,13,-20,-36,-48,-45,-18,-10,4,31,-1025,2,76,10,-18,-68,-503,-583,-14,24,-73,21,-1143,-389,586,-5,-18,-49,-2428,-1028,170,26,-96,-5,2911,1622,-388,10,-42,-4,211,-228,289,10,-36,40,-1032,-132,-152,20,-57,7,408,349,49,15,-23,0,37,-253,-116,10,-43,50,696,348,-281,tilt_right
17,-24,20,-117,-350,43,3,-14,44,1055,812,-171,-7,-15,4,-236,-292,-283,1,-20,5,1202,729,65,6,-8,-12,-549,-565,207,0,9,14,760,117,13,-2,-7,9,-386,-199,102,-9,17,9,391,212,-152,9,-7,2,-115,-71,-22,-8,1,-7,142,93,52,-6,49,-154,4022,972,-611,-89,83,-5,1343,50,-683,15,45,-33,296,30,-366,-12,115,11,118,-326,101,0,84,65,-1363,-402,-92,28,58,76,-2213,-497,705,17,18,-26,-866,-12,750,-17,43,57,-5,294,600,-5,45,-2,-1059,-110,-399,1,-26,-12,-615,90,53,tilt_right
-4,-25,-37,-760,-292,99,0,-23,-18,-530,-95,320,-4,-13,-6,-374,-163,128,-9,-43,6,-1806,69,630,-16,-14,-104,1906,-117,-812,-28,-3,77,-200,763,228,53,-109,-58,125,-928,-226,-23,-22,25,-2017,43,870,21,-36,-53,1673,-239,-402,-3,-36,31,75,556,-112,10,-24,8,495,202,-126,34,-70,0,-643,-514,78,-8,10,6,731,218,-247,35,-63,12,-682,-377,17,-16,-11,37,699,327,-153,13,0,32,-261,-358,-207,3,-1,28,1963,1001,-310,11,-20,-3,-306,-204,-24,-9,-9,-4,58,-59,208,5,3,8,-294,-144,27,tilt_right
-53,103,-113,4989,1241,-851,-50,88,3,-1268,-34,-244,9,36,-62,-473,-497,-81,-6,54,-18,1616,85,477,-16,87,46,886,45,131,-2,72,130,-1546,-295,-275,5,10,15,-1802,-446,-116,22,34,20,-885,209,120,47,-31,14,-1425,-111,715,-21,37,-62,-223,-135,489,-38,15,23,-274,122,-165,23,-28,-30,-868,-198,-7,6,-46,-1,-806,-23,553,-26,-20,-91,-568,-598,466,-5,-12,5,996,224,-679,15,-90,29,-805,-159,314,-6,-26,-61,-841,72,297,2,-59,27,22,-170,-69,21,-21,-40,477,-162,-453,28,-88,44,747,456,-16,tilt_right
6,-24,24,-41,-368,-183,27,-42,21,316,316,-150,24,-45,43,-50,-147,258,-20,28,33,261,259,-319,13,-20,42,-167,-101,-343,-6,-17,-1,1452,627,-349,6,-9,18,152,-259,283,7,-6,22,-593,-262,249,-4,21,19,613,324,-204,0,-43,-4,766,286,-187,-58,71,-138,5011,704,-871,-2,85,-62,-939,-266,125,-43,84,-89,905,348,-520,6,34,-16,663,-5,696,-23,145,108,-531,-208,469,3,62,74,-2655,-404,76,-8,47,8,-328,-118,-419,39,-42,40,-1073,-90,66,25,-19,13,-1766,-256,707,-28,43,-55,-335,78,313,tilt_right
-23,31,-22,-432,-102,238,14,-31,-14,-151,-444,-91,-11,-21,8,-1102,-128,617,13,-76,-60,-3088,-923,420,-32,-20,-52,2830,464,-614,46,-87,7,-721,381,273,-12,-40,39,-551,-687,-592,32,-49,2,1257,995,-302,37,-77,8,-154,-549,135,4,-12,35,841,382,-217,12,-42,26,643,418,-192,-12,13,1,234,-21,-182,17,-40,29,-417,-143,-141,4,-39,2,215,140,595,-11,21,25,305,-248,-274,10,5,29,911,472,-108,4,-6,17,-373,-107,-160,3,-30,-5,143,113,212,-12,15,2,341,45,196,1,3,7,133,23,-203,tilt_right
-61,90,-133,5554,1465,-1195,-48,118,-84,1672,786,-489,-14,57,-49,-72,-417,223,-24,143,91,-2365,-1652,799,17,44,126,-2128,-35,-229,24,19,17,-2052,-40,567,-14,29,-67,238,-211,-83,22,-31,42,-636,45,249,-14,33,9,171,-167,334,27,-17,22,-1312,294,252,-50,63,-73,145,-268,53,6,-23,24,113,82,-332,13,-45,7,-1318,-342,91,13,-61,-40,-1883,-545,751,-11,-49,-99,-1351,-600,160,7,-31,-61,1921,-84,-234,2,-39,101,2007,1431,-759,42,-106,4,-2805,-313,463,7,-37,-52,195,-47,384,11,-18,15,570,-453,89,tilt_right
-3,-41,82,1115,576,-978,32,-71,11,-400,-244,454,2,13,45,736,388,-314,33,-36,28,-492,-283,239,-22,24,19,2003,819,-449,11,-23,-4,249,-318,-69,7,6,32,-48,-7,-20,8,-21,-1,-125,143,144,-20,17,-12,258,-31,-112,17,-20,6,27,66,54,-186,491,-107,3508,-57,-855,65,-39,66,-1330,-233,-185,-7,63,20,-1357,180,1002,-27,48,-27,-592,151,-414,33,-25,-4,-305,-35,166,3,-7,-14,-409,-111,317,0,-7,-3,26,-68,52,-9,1,12,-591,-67,90,30,-65,-8,-1874,-313,636,-31,-70,-44,-2102,-146,1319,tilt_right
-27,-7,-100,-235,-1054,-882,5,-70,-23,1095,900,-243,50,-86,-11,913,-721,-137,8,-26,45,-61,173,40,29,-55,30,751,258,-658,31,-51,13,742,409,204,-1,-14,39,-438,-186,-126,13,-12,20,318,-110,-7,9,-4,34,975,748,-596,22,-67,16,247,97,226,-17,26,-7,-147,-217,268,6,6,44,92,179,-182,4,-6,-9,418,142,-137,-2,-22,-10,197,-124,128,-1,18,12,82,38,-15,3,10,14,73,87,-46,-5,-9,-4,-30,102,-48,3,-8,-17,-19,-64,38,-3,-1,4,14,-44,56,1,0,10,-49,26,-28,tilt_right
