AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-23,-1,-28,-233,178,368,-20,-11,34,388,-158,-29,-1,11,-14,-50,115,336,-9,5,22,-205,-51,505,27,57,-11,188,45,-12,-4,14,9,134,-83,84,2,15,-2,-101,66,-24,-1,33,12,31,-17,0,3,-23,-14,-84,43,-49,2,9,13,70,-14,-134,-12,169,19,1298,-132,2562,56,150,-33,4,125,-825,68,-4,-46,-811,-418,-788,9,3,52,-215,564,-514,68,-66,-102,-82,-24,-465,-18,19,38,-312,-43,11,28,-35,-9,127,90,-642,-40,-45,5,-749,-211,-120,-49,-22,58,283,156,-211,-2,18,45,-226,302,-431,up
-73,-132,-58,-317,-128,-266,22,67,82,292,-523,130,-101,-174,-34,-248,577,-263,-34,-75,-15,1078,-175,-409,-1,-109,-106,-335,-301,568,-34,0,89,-145,-125,1445,45,146,45,420,515,291,60,62,-62,-57,-279,242,-18,-25,2,19,65,-220,-8,22,14,6,-148,351,10,38,12,-50,17,-99,2,3,3,65,96,-197,3,-4,-3,-2,57,-201,12,-26,-12,-53,-181,248,-9,0,13,49,74,-125,-4,-1,1,14,37,28,7,17,0,-32,33,51,4,12,-1,-2,47,-62,2,-19,-13,17,-84,-15,-10,-15,24,17,46,127,up
-9,-155,-50,-583,222,-1105,-49,-55,23,1215,-199,1758,-39,0,49,-165,-221,1625,31,35,12,701,263,308,30,236,-36,-242,-345,230,29,111,19,-105,-206,-757,67,169,-51,-120,-53,-566,38,-24,43,-87,199,-614,69,26,-46,-363,363,-416,36,-36,-25,-101,-5,-484,24,20,-17,-342,219,-393,-19,-22,8,52,40,-622,-42,-69,-2,-372,-252,55,-49,14,69,162,-33,-226,-31,-38,1,-321,559,-486,-60,-92,-43,-154,-281,-387,44,-64,-5,-38,-368,148,-83,-149,10,606,-161,-656,-44,-117,24,-221,516,805,65,0,-82,-176,-387,773,up
-14,50,54,573,-206,555,-1,67,26,43,411,478,31,66,-28,18,-325,191,-18,92,60,47,130,-314,10,-42,-25,-134,246,-66,13,-11,-40,3,-216,31,-25,-3,48,87,13,-11,9,-4,-11,52,184,62,0,6,-5,-51,-16,7,14,13,-22,-44,-99,-42,-106,-45,116,850,151,2655,97,117,-104,404,-213,-239,8,128,20,-299,-386,-113,66,73,-41,-427,-7,-742,28,65,65,-102,303,-481,59,-15,-76,-434,466,-676,40,84,22,230,19,-472,-5,-61,-68,-447,-151,-873,-63,-8,90,-161,-408,-377,-66,-122,-16,-382,667,-556,up
-22,-19,46,499,-188,-769,-85,-219,1,-1213,146,-107,-28,-131,-12,1138,-521,-55,-51,-81,9,-407,48,939,76,0,-65,179,-69,1389,-19,57,61,616,72,205,37,55,-13,170,-21,348,0,25,0,-183,20,448,15,134,8,99,-51,35,5,20,-9,-113,203,-652,3,-64,-24,-164,-177,-44,-16,-8,37,230,-35,71,5,-5,2,4,117,79,9,19,-14,-41,95,-60,-6,11,5,36,-72,-64,-6,-73,-11,-274,35,-234,-28,-121,20,-241,97,249,8,-19,-14,411,-12,745,-9,16,34,675,61,422,-7,-2,-5,-175,33,512,up
77,125,-76,728,-172,432,-21,135,87,-381,-674,563,84,213,-38,-7,844,-1236,29,-29,-86,-281,-703,-381,11,20,56,-166,664,-632,55,-18,-90,-255,-348,32,-31,6,76,-90,192,-464,23,42,-42,-119,167,-530,-45,48,86,-35,-25,-561,-49,-138,-62,-349,279,-764,-30,-44,1,-192,-525,-215,-80,-146,74,-386,-159,-79,-39,-184,23,187,282,41,23,-75,-58,291,-88,1106,-16,55,87,377,-328,227,4,36,-22,463,577,12,34,-6,-88,-413,-178,601,-1,99,36,80,-242,136,-14,17,23,92,393,-123,11,18,-26,84,-205,97,up
-9,-15,4,-97,6,45,0,25,-1,18,-38,73,-5,8,18,22,13,-6,6,-12,-10,-39,21,-51,-6,-16,6,50,13,98,5,5,-11,-11,29,7,0,32,7,-16,-26,-72,1,-27,-8,-26,-10,89,-2,1,7,11,33,-8,-2,17,6,43,-12,21,38,-158,-21,-231,156,-428,-16,-79,-20,-61,-190,725,-14,0,39,1047,202,971,-24,0,-19,-31,-168,820,-50,185,104,-229,154,-258,73,165,-70,321,-168,289,29,153,10,186,-19,-185,109,69,-84,-309,-3,-796,30,-10,4,-246,-13,-552,36,-15,-25,-383,420,-463,up
25,22,-38,-283,-152,-469,-35,-72,20,112,-178,-723,-74,-81,43,-701,-194,142,-5,11,62,425,388,-595,5,-149,-87,-526,178,-430,-71,-47,97,-150,-1000,469,-51,-102,34,1243,792,-103,55,-41,-115,-1070,-382,354,-45,-48,26,819,62,442,14,68,-11,-77,-128,259,-13,0,49,-3,96,20,24,10,-43,214,267,466,3,-43,2,68,-173,230,-9,181,24,-277,3,-10,2,4,5,205,17,-78,11,-26,-22,-293,113,-100,7,-5,-7,186,-275,-61,-16,-6,41,3,110,-14,1,16,1,-25,110,73,4,1,-11,8,-10,24,up
-61,-106,120,892,232,2080,27,45,-132,400,-479,390,21,217,31,-224,-341,-293,47,116,-43,-693,377,-648,20,34,71,184,42,-420,92,64,-83,-337,494,-708,47,61,-36,-361,193,-844,-5,-70,-44,-197,-565,-676,-88,-53,123,210,128,-674,-53,-139,-5,-617,214,-314,-20,-124,0,-201,-187,-403,-64,-200,19,161,44,115,-20,-85,-37,74,-324,1186,-6,90,78,1002,63,182,45,-16,-92,-467,392,250,13,65,-5,322,-479,503,-6,7,7,-387,109,63,-12,72,43,257,68,1,24,-14,-38,47,-120,26,-16,-56,11,114,-24,224,up
-6,75,23,-87,22,76,3,27,2,-79,163,-75,4,-10,-15,82,-7,-151,8,-20,-13,-31,-71,-43,-4,-34,-1,10,67,170,-9,12,13,-48,6,-15,1,29,-3,-4,-26,82,15,20,-8,17,23,-201,-9,-6,16,50,-96,-25,-3,-43,-10,-37,10,41,22,-150,-37,-252,289,-243,-51,-48,39,184,-542,1445,-12,54,86,560,476,804,46,45,-69,456,-55,209,24,148,-29,25,-345,-269,-18,94,56,-17,-149,-78,53,79,-62,-177,364,-327,46,73,-14,-481,-345,-154,42,70,29,-87,393,-721,47,21,-25,-236,121,-566,up
-3,-18,-8,26,142,-726,-36,-73,-40,-459,-288,-306,-38,10,85,216,111,-498,-42,-82,-5,-754,48,-322,-61,-166,5,389,19,-119,3,-6,-4,417,-144,-359,-75,-245,-15,-123,194,-43,5,10,-28,110,-442,797,-3,-7,32,-42,183,695,35,35,-43,-191,332,687,15,133,36,511,-349,276,-1,-4,-7,-142,46,53,3,55,7,13,-204,48,-14,44,43,78,206,-101,25,-23,-39,-107,79,-167,-4,-18,-10,39,-168,-110,-19,-35,31,28,25,101,4,-25,-19,-159,109,-100,-8,-44,17,-201,72,256,9,-91,-37,153,0,193,up
-62,133,78,1009,-65,2130,60,90,-39,349,-54,-82,47,71,-24,-325,-512,159,42,150,25,-101,129,-845,41,77,-20,-491,261,-731,37,30,-11,135,288,-600,31,-9,-32,-255,70,-462,20,25,-17,-314,8,-686,-52,-112,0,-202,-122,-677,-44,-48,35,-380,-162,-228,-66,-149,40,-24,144,-389,-22,-71,-3,174,9,76,-43,-118,-23,-172,-215,341,-17,6,63,589,11,274,22,-8,-41,-168,46,549,-17,27,26,575,21,73,3,6,-39,-145,103,238,19,35,-5,-248,11,319,-11,25,16,198,14,-121,6,-14,-21,259,-153,-3,up
-29,-44,13,-199,-45,357,5,116,43,-75,89,75,17,-16,-35,-19,195,-94,3,-36,-17,72,-158,43,-16,20,23,-51,-27,92,14,25,-3,28,19,-84,-2,-3,-4,33,20,-46,4,-24,-15,-79,-62,5,-7,7,13,24,-45,30,7,-10,-15,-53,-44,-17,-9,-155,-14,-17,66,598,-29,-2,88,38,-189,463,-13,-30,8,276,547,657,39,88,-11,556,-172,559,39,90,-35,228,-125,-148,14,112,-1,6,-247,-94,52,124,1,-48,232,-420,44,36,-54,-373,-364,-507,37,66,25,-205,103,-447,26,1,-21,-370,344,-646,up
12,27,4,55,61,-417,-16,-64,-17,-388,140,-651,-23,-67,-17,-223,-358,-227,-85,-58,88,-219,107,-302,-31,-45,16,139,308,-261,-21,-133,-60,250,294,197,-19,-66,6,46,-533,-281,-27,-91,4,-214,-275,432,-2,12,13,319,268,256,5,8,-33,-23,72,360,-5,13,13,-32,-247,610,14,89,18,243,149,157,-2,3,-12,71,-29,-4,1,42,6,-138,-196,265,-11,52,32,37,185,-210,16,-26,-22,16,27,-60,5,-15,-13,-21,-149,151,-7,7,10,84,57,-203,-3,-4,11,139,-66,147,-6,-15,-3,-141,214,93,up
