AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
36,26,18,51,-98,-162,46,34,-19,-6,-20,-332,31,-36,1,-124,108,-241,42,42,-17,85,-121,-216,36,3,-1,-71,-52,-277,13,-24,-23,-336,360,-175,27,24,-10,-47,-145,-433,9,-21,7,-252,137,-222,-3,-34,-14,-87,3,-172,0,-25,2,258,-78,-95,-118,79,76,-372,-79,-1060,-24,17,-9,-13,335,-200,-63,-73,-38,-51,-190,-714,-38,-56,25,9,-175,292,-52,-39,25,-31,198,-107,-21,-36,-12,-106,135,645,29,124,17,426,-171,54,-10,-19,-39,-537,-35,307,3,30,28,609,23,-372,-14,5,-4,11,-296,367,down
-14,-28,19,-132,400,307,32,-74,-83,-378,-541,-385,-4,215,102,878,687,1959,-2,-127,-54,-261,-207,-943,-51,-137,-28,-692,-445,830,-54,-6,93,900,147,1293,22,76,-41,-103,334,457,46,71,1,373,-238,-159,48,29,8,198,24,-60,29,-3,-30,-657,12,-227,45,34,30,864,-99,-115,61,4,-30,-355,54,-399,37,-33,-9,-158,64,-424,20,1,-2,-321,-134,-173,26,7,0,247,91,195,52,82,-12,64,130,-659,1,-68,-31,-315,-26,-354,9,-19,-13,52,14,-239,-10,-58,-9,-443,-98,-195,-14,-31,44,163,50,41,down
10,157,0,-118,-39,-102,-40,-7,-6,-117,52,-693,-59,-34,33,-128,-11,-129,-40,8,5,443,164,-519,-51,-51,-17,-465,-110,168,-34,-10,29,6,374,-451,-35,-39,-28,-312,-456,163,-42,-48,34,493,227,-76,-7,14,1,-17,-209,422,-5,2,-1,140,136,77,23,58,-3,195,-177,376,-15,-39,-12,-558,331,19,23,-95,-86,-622,-931,-1085,-15,310,233,2526,1360,4181,22,-187,-233,-1263,-489,-2401,-49,-159,51,-445,-1132,1240,-41,84,105,35,724,883,25,11,-56,479,190,116,22,42,13,152,-152,260,31,38,14,244,29,24,down
27,3,-19,36,2,15,55,51,1,95,11,-230,49,-27,-37,-167,102,-344,44,-11,-19,16,-194,-243,39,40,25,94,-40,-136,21,-6,-22,-347,74,-287,35,34,0,-71,139,-283,33,8,-10,-14,61,-482,-7,-63,-23,-181,-53,-149,3,-17,11,27,57,-226,-107,127,34,-698,-118,-854,-61,-61,50,396,586,-873,-28,-27,-88,-157,-424,-101,-84,-92,60,317,-218,-397,-4,-42,90,-718,278,479,-20,-8,-160,1251,264,124,-11,104,51,-769,-703,-291,-49,-157,47,-521,414,545,25,63,12,17,420,853,52,49,-12,283,224,494,down
-50,-219,-71,879,-685,427,76,357,36,-469,-117,-312,-21,-77,-7,459,-268,115,-44,-133,39,-77,-35,637,-16,-15,-12,54,178,578,-6,27,7,135,-54,708,12,51,-5,-160,-21,206,44,33,13,364,97,38,48,14,-30,-218,-121,-294,37,6,-1,265,-12,-213,29,-2,8,-271,-327,-255,26,20,17,-93,392,139,61,49,-38,122,47,-456,37,-13,-17,-58,125,-187,22,11,-22,-88,94,-344,15,-12,12,-79,-48,-456,3,-63,-35,-305,66,-160,-1,-9,38,-67,21,57,11,4,-30,183,-13,-104,-26,-69,-30,-319,-80,-192,down
-16,152,56,-8,-66,-158,-26,25,23,105,171,-615,-15,22,-8,171,-163,-255,-84,-64,10,-512,124,-446,-9,27,38,435,-44,-222,-115,-130,-26,-644,365,-157,-25,19,15,510,-52,-22,-23,-43,-13,-311,-239,335,1,-2,-9,516,183,97,1,33,-16,-243,-380,171,-20,-37,89,-88,236,373,41,30,-78,-17,121,-59,-7,41,64,1217,-260,3719,41,-18,-89,-899,85,-2465,-52,-93,12,-205,-394,1007,-27,30,56,470,-10,703,2,13,-10,103,275,365,36,28,-19,44,-86,246,25,15,3,-175,-77,-98,40,30,11,486,-14,109,down
63,68,-23,29,-32,-443,39,-18,1,-140,-103,-408,39,16,23,52,80,-183,48,-7,-29,-141,264,-368,38,16,-25,-221,-160,-305,10,-34,6,-204,170,-218,22,4,-18,218,43,-333,-4,-34,-16,-245,-9,-260,-2,-45,-2,-85,1,40,-7,-8,13,-27,-50,-26,2,168,34,66,-21,-248,-59,-57,-23,-516,100,-756,-24,-7,62,201,53,-275,-71,-39,-49,-237,12,-102,-20,21,69,599,155,-297,-62,-85,-70,-328,30,-166,-36,-56,25,-191,-217,162,6,1,53,187,32,431,-8,-1,-64,-89,161,276,10,61,47,376,-246,143,down
-9,22,-44,-272,-76,264,7,15,41,519,133,-62,-3,10,-67,-807,-32,271,9,46,68,1355,-304,54,-17,-69,-26,-1187,435,190,-23,-138,-10,371,-312,384,26,179,1,-114,315,-154,-22,-134,-46,-106,-505,191,-53,-110,81,269,-29,1147,1,114,-33,224,361,669,1,10,-13,121,-363,413,25,77,47,244,38,371,58,55,-11,162,59,-283,74,42,-25,-155,-51,-377,65,17,24,-54,58,-441,56,10,-54,-56,64,-663,25,-21,9,-204,-60,-368,20,-33,-6,-325,185,-568,7,-42,-7,-17,-24,172,1,-37,-1,272,153,-242,down
-145,64,40,-350,16,-1391,-36,-67,-16,-285,34,-95,-20,15,6,186,-60,-111,-26,15,17,-162,-42,-15,-31,-59,-4,-45,-4,159,-33,10,4,309,16,180,9,8,-2,178,101,247,-1,22,-12,-436,15,72,30,16,14,365,131,60,-213,-291,70,1226,-395,2441,246,470,-123,-1358,196,-1769,-42,-238,12,173,-308,519,-32,-44,30,-260,-69,346,-8,4,-1,391,71,841,13,47,9,-38,-1,364,25,23,0,166,12,61,19,17,-11,92,-79,-12,39,9,1,40,-2,-81,29,9,8,57,3,-168,34,5,-1,-296,-22,-196,down
38,-42,23,-113,160,-288,33,33,-22,463,324,233,38,29,-58,-255,-255,-369,13,-21,26,-18,18,-218,24,37,-15,-36,192,-148,27,-4,-21,-267,-146,-641,-22,-23,49,232,12,-61,16,-33,-55,-100,244,-63,4,-18,-28,-319,-261,-62,-19,-23,66,180,-41,58,-79,130,32,-648,5,-1093,-29,-30,34,650,266,-370,-56,-80,-69,-331,-123,-12,-33,33,54,279,26,70,-41,-25,-10,-248,168,-597,-30,-58,-31,-270,-224,418,-10,54,29,708,-280,168,6,-9,19,-480,433,78,-7,3,-24,331,-283,284,-16,16,15,124,96,149,down
17,36,2,276,89,27,-243,-307,118,1266,-223,3043,320,556,-155,-2255,826,-2844,-91,-389,-45,429,-788,1521,-8,59,94,406,-178,308,-25,-63,-22,1,19,299,-21,-17,-13,-54,-7,682,19,75,5,249,-26,384,27,58,8,98,42,200,91,120,-9,224,1,-239,63,12,-22,-260,-34,-729,46,-12,33,-73,-21,-419,41,-34,-6,-187,465,-376,40,-2,-46,33,-470,-335,16,-34,34,-24,429,-320,-1,-25,-71,-272,-259,-238,-4,-33,47,96,170,-13,-2,-15,-36,-134,-18,-253,-26,-59,12,-54,9,181,9,33,25,349,38,8,down
